Date,Open,High,Low,Close,Volume
09/19/2023,326.17,329.39,324.51,328.65,"16,514,490"
09/18/2023,327.8,330.4,326.36,329.06,"16,834,211"
09/15/2023,336.92,337.4,329.65,330.22,"37,679,793"
09/14/2023,339.15,340.86,336.57,338.7,"20,267,051"
09/13/2023,331.31,336.85,331.17,336.06,"16,544,410"
9/12/2023,335.82,336.79,331.48,331.77,"17,565,480"
9/11/2023,337.24,338.42,335.43,337.94,"16,583,320"
9/08/2023,330.09,336.16,329.46,334.27,"19,548,170"
9/07/2023,331.29,333.08,329.03,329.91,"18,381,000"
9/06/2023,333.38,334.46,330.18,332.88,"17,535,770"
9/05/2023,329,334.85,328.66,333.55,"18,553,859"
9/01/2023,331.31,331.99,326.78,328.66,"14,942,020"
08/31/2023,329.2,330.91,326.78,327.76,"26,410,949"
08/30/2023,328.67,329.81,326.45,328.79,"15,222,110"
08/29/2023,321.88,328.98,321.88,328.41,"19,284,590"
08/28/2023,325.66,326.15,321.72,323.7,"14,808,480"
08/25/2023,321.47,325.36,318.8,322.98,"21,684,100"
08/24/2023,332.85,332.98,319.96,319.97,"23,281,430"
08/23/2023,323.82,329.2,323.46,327,"21,166,381"
08/22/2023,325.5,326.08,321.46,322.46,"16,102,020"
08/21/2023,317.93,322.77,317.04,321.88,"24,039,961"
08/18/2023,314.49,318.38,311.55,316.48,"24,755,010"
08/17/2023,320.54,321.87,316.21,316.88,"21,257,160"
08/16/2023,320.8,324.42,319.8,320.4,"20,698,859"
08/15/2023,323,325.09,320.9,321.86,"16,966,289"
08/14/2023,321.39,324.06,320.08,324.04,"18,836,141"
8/11/2023,320.26,322.41,319.21,321.01,"24,355,490"
8/10/2023,326.02,328.26,321.18,322.93,"20,113,730"
8/09/2023,326.47,327.11,321.05,322.23,"22,373,270"
8/08/2023,326.96,328.75,323,326.05,"22,327,570"
8/07/2023,328.37,331.11,327.52,330.11,"17,741,529"
8/04/2023,331.88,335.14,327.24,327.78,"23,741,480"
8/03/2023,326,329.88,325.95,326.66,"18,360,350"
8/02/2023,333.63,333.63,326.36,327.5,"27,761,260"
8/01/2023,335.19,338.54,333.7,336.34,"18,381,250"
07/31/2023,336.92,337.7,333.36,335.92,"25,446,020"
07/28/2023,333.67,340.01,333.17,338.37,"28,484,869"
